Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2015-06-19,,,,,,4533.84,0.0,8404.0
2015-06-18,4483.0,4560.0,4483.0,4540.0,76.75,4538.0,1900.0,9360.0
2015-06-17,4461.0,4482.0,4442.0,4464.0,2.25,4461.25,157.0,9522.0
2015-06-16,4425.0,4463.0,4424.0,4458.5,23.5,4459.0,297.0,9700.0
2015-06-15,4418.0,4436.5,4396.5,4436.5,19.25,4435.5,1917.0,8942.0
2015-06-12,4465.0,4473.0,4448.0,4454.5,35.75,4454.75,936.0,9260.0
2015-06-11,4498.0,4512.0,4485.0,4491.0,1.75,4490.5,160.0,9286.0
2015-06-10,4437.0,4497.0,4436.25,4489.0,57.25,4488.75,1234.0,9046.0
2015-06-09,4420.0,4438.0,4394.0,4432.5,0.75,4431.5,595.0,8938.0
2015-06-08,4473.5,4476.0,4420.0,4432.0,49.25,4432.25,729.0,9145.0
2015-06-05,4480.0,4490.0,4454.5,4482.5,15.0,4481.5,148.0,9260.0
2015-06-04,4494.0,4525.0,4476.0,4496.5,31.0,4496.5,1088.0,9458.0
2015-06-03,4530.0,4538.0,4514.0,4528.5,24.5,4527.5,230.0,9357.0
2015-06-02,4503.0,4528.0,4486.0,4503.0,18.5,4503.0,258.0,9105.0
2015-06-01,4531.0,4534.0,4488.0,4521.5,10.5,4521.5,462.0,8661.0
2015-05-29,4531.0,4535.0,4499.0,4515.5,31.75,4511.0,1542.0,7514.0
2015-05-28,4536.0,4545.0,4523.0,4541.5,0.5,4542.75,519.0,7466.0
2015-05-27,4485.0,4551.0,4475.0,4543.0,62.5,4542.25,868.0,6987.0
2015-05-26,4517.0,4519.0,4455.0,4479.25,49.0,4479.75,319.0,6989.0
2015-05-22,4526.0,4541.5,4523.0,4528.0,,4528.75,8.0,7169.0
2015-05-21,4497.5,4535.0,4495.0,4528.75,23.25,4528.75,135.0,7285.0
2015-05-20,4505.0,4533.5,4482.0,4505.0,4.25,4505.5,629.0,6966.0
2015-05-19,4512.5,4519.0,4499.0,4502.5,6.0,4501.25,332.0,7081.0
2015-05-18,4479.0,4516.0,4479.0,4508.25,18.5,4507.25,372.0,6838.0
2015-05-15,4499.0,4506.0,4479.0,4489.5,1.5,4488.75,6.0,6960.0
2015-05-14,4460.0,4493.0,4444.0,4490.0,66.5,4490.25,148.0,6959.0
